,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
31,HQI,JACKSON EDWARD,Director,"Apr 21, 2020",$6.56,1633,10711,2544427,"Apr 22, 2020, 04:42 PM",buy
32,EIC,Onorio Kenneth P.,CFO/COO,"Apr 22, 2020",$9.15,500,4575,3916,"Apr 22, 2020, 04:42 PM",buy
33,EIC,Onorio Kenneth P.,CFO/COO,"Apr 21, 2020",$9.59,500,4795,3416,"Apr 22, 2020, 04:42 PM",buy
34,GRPN,Leonsis Theodore,Director,"Apr 20, 2020",$0.95,1000000,950000,2629996,"Apr 22, 2020, 04:36 PM",buy
35,ECC,Onorio Kenneth P.,CFO/COO,"Apr 21, 2020",$5.96,2000,11920,27394,"Apr 22, 2020, 04:35 PM",buy
36,DRIO,STERN ADAM K,Director,"Apr 20, 2020",$6.66,639,4256,14993,"Apr 22, 2020, 04:29 PM",buy
37,VOLT,Schultz Lori,Chief Global Solutions Officer,"Apr 22, 2020",$0.76,6450,4902,14918,"Apr 22, 2020, 04:10 PM",buy
38,AXDX,SCHULER JACK W,Director,"Apr 20, 2020",$9.40,59357,557956,14361285,"Apr 22, 2020, 03:17 PM",buy
39,BRBS,Spurzem Richard T,10% Owner,"Apr 21, 2020",$16.00,3700,59196,737460,"Apr 22, 2020, 02:56 PM",buy
40,MACK,Levy Noah G.,Director,"Apr 21, 2020",$3.25,1424,4628,693014,"Apr 22, 2020, 02:30 PM",buy
41,MACK,Levy Noah G.,Director,"Apr 20, 2020",$3.25,2325,7556,692181,"Apr 22, 2020, 02:30 PM",buy
42,MACK,Andersen Eric,Director,"Apr 20, 2020",$3.25,2325,7556,691344,"Apr 22, 2020, 02:27 PM",buy
43,MACK,Andersen Eric,Director,"Apr 21, 2020",$3.25,1424,4628,692768,"Apr 22, 2020, 02:27 PM",buy
44,GDL,CONN JAMES P,Director,"Apr 20, 2020",$7.91,1000,7910,2000,"Apr 22, 2020, 02:26 PM",buy
45,VOLT,MUELLER HERBERT M,SVP & Chief Financial Officer,"Apr 22, 2020",$0.73,10000,7288,12000,"Apr 22, 2020, 01:58 PM",buy
46,VOLT,PERNEAU LINDA,President and CEO,"Apr 22, 2020",$0.75,10000,7463,88541,"Apr 22, 2020, 01:52 PM",buy
47,PIH,"Fundamental Global Investors, LLC",Director,"Apr 21, 2020",$4.78,54443,260314,628875,"Apr 22, 2020, 12:34 PM",buy
48,PIH,"Fundamental Global Investors, LLC",Director,"Apr 20, 2020",$4.89,3364,16457,574432,"Apr 22, 2020, 12:34 PM",buy
49,PPR,"Saba Capital Management, L.P.",10% Owner,"Apr 20, 2020",$3.99,100000,399000,36106381,"Apr 22, 2020, 12:28 PM",buy
50,PPR,"Saba Capital Management, L.P.",10% Owner,"Apr 21, 2020",$3.94,214293,844314,36320674,"Apr 22, 2020, 12:28 PM",buy
51,PHD,"Saba Capital Management, L.P.",10% Owner,"Apr 21, 2020",$8.22,13367,109877,3302117,"Apr 22, 2020, 12:23 PM",buy
52,PHD,"Saba Capital Management, L.P.",10% Owner,"Apr 20, 2020",$8.39,20998,176173,3288750,"Apr 22, 2020, 12:23 PM",buy
53,EHI,"Saba Capital Management, L.P.",10% Owner,"Apr 20, 2020",$8.38,13326,111672,8738992,"Apr 22, 2020, 12:17 PM",buy
54,EHI,"Saba Capital Management, L.P.",10% Owner,"Apr 21, 2020",$8.13,544,4423,8739536,"Apr 22, 2020, 12:17 PM",buy
55,BQH,"Saba Capital Management, L.P.",10% Owner,"Apr 20, 2020",$14.49,962,13939,375830,"Apr 22, 2020, 12:14 PM",buy
56,DMLP,DORCHESTER MINERALS OPERATING LP,Entity Under Common Control,"Apr 20, 2020",$10.22,15000,153252,43024,"Apr 22, 2020, 10:13 AM",buy
57,TSC,Fetterolf Brian S,"CEO, TSC Bank, Director TSC","Apr 21, 2020",$12.96,8500,110160,61149,"Apr 22, 2020, 09:22 AM",buy
58,IMBI,Lalo Eyal,Director,"Apr 17, 2020",$2.04,691070,1411510,1091070,"Apr 21, 2020, 08:51 PM",buy
59,IMBI,Friedman Michael,Director,"Apr 17, 2020",$2.06,651444,1344059,911045,"Apr 21, 2020, 08:49 PM",buy
60,TGEN,Benjamin Locke M.,CEO,"Apr 21, 2020",$1.02,2000,2040,5418,"Apr 21, 2020, 07:23 PM",buy
61,LWAY,SMOLYANSKY JULIE,President and CEO,"Apr 20, 2020",$2.16,300,648,2516,"Apr 21, 2020, 06:31 PM",buy
62,LWAY,SMOLYANSKY JULIE,President and CEO,"Apr 17, 2020",$2.23,1600,3561,1827051,"Apr 21, 2020, 06:31 PM",buy
63,ICMB,Investcorp BDC Holdings Ltd,10% Owner,"Apr 20, 2020",$4.73,2700,12759,462108,"Apr 21, 2020, 05:47 PM",buy
64,ICMB,Investcorp BDC Holdings Ltd,10% Owner,"Apr 17, 2020",$4.73,3080,14555,459408,"Apr 21, 2020, 05:47 PM",buy
65,ICMB,Investcorp BDC Holdings Ltd,10% Owner,"Apr 21, 2020",$4.38,1815,7950,463923,"Apr 21, 2020, 05:47 PM",buy
66,TREC,Quarles Patrick D.,President and CEO,"Apr 21, 2020",$5.48,3224,17668,202257,"Apr 21, 2020, 05:13 PM",buy
67,NBAC,NeoGenesis Holding Co. Ltd.,10% Owner,"Feb 20, 2020",$10.00,272500,2725000,1645000,"Apr 21, 2020, 05:10 PM",buy
68,NBAC,Xiong Wenhui,Chief Executive Officer,"Feb 20, 2020",$10.00,272500,2725000,1645000,"Apr 21, 2020, 05:09 PM",buy
69,DLPN,Dougiello Charles Joseph,Director,"Sep 09, 2019",$0.96,830,796,308852,"Apr 21, 2020, 04:42 PM",buy
70,DLPN,Dougiello Charles Joseph,Director,"Sep 06, 2019",$0.94,1170,1099,308022,"Apr 21, 2020, 04:42 PM",buy
71,SHRG,DOCUMENT SECURITY SYSTEMS INC,10% Owner,"Apr 17, 2020",$0.09,1000000,85000,16082424,"Apr 21, 2020, 04:35 PM",buy
72,GPOR,Holroyd Samantha,See Explanation of Responses,"Apr 17, 2020",$0.72,20500,14821,20500,"Apr 21, 2020, 04:30 PM",buy
73,ESQ,Grossman Marc D,Director,"Mar 17, 2020",$18.99,2099,39857,6099,"Apr 21, 2020, 04:24 PM",buy
74,KMX,Goodman Shira,Director,"Apr 17, 2020",$63.91,1550,99060,26439,"Apr 21, 2020, 04:17 PM",buy
75,MYOV,"Sumitomo Chemical Co., Ltd.",10% Owner,"Apr 20, 2020",$11.82,50300,594425,47678904,"Apr 21, 2020, 04:01 PM",buy
76,MYOV,"Sumitomo Chemical Co., Ltd.",10% Owner,"Apr 17, 2020",$10.76,70000,753536,47628604,"Apr 21, 2020, 04:01 PM",buy
77,VOXX,Kahli Beat,10% Owner,"Apr 17, 2020",$4.66,29826,138989,2766693,"Apr 21, 2020, 04:00 PM",buy
78,VOXX,Kahli Beat,10% Owner,"Apr 20, 2020",$4.40,100000,440000,288037,"Apr 21, 2020, 04:00 PM",buy
79,VOXX,Kahli Beat,10% Owner,"Apr 17, 2020",$4.45,105000,467250,188037,"Apr 21, 2020, 04:00 PM",buy
80,TTP,CICCOTELLO CONRAD S,Director,"Apr 21, 2020",$3.23,1200,3876,3271,"Apr 21, 2020, 03:57 PM",buy
81,NTG,CICCOTELLO CONRAD S,Director,"Apr 21, 2020",$1.20,1200,1440,5591,"Apr 21, 2020, 03:55 PM",buy
82,NDP,CICCOTELLO CONRAD S,Director,"Apr 21, 2020",$1.26,1200,1512,5300,"Apr 21, 2020, 03:51 PM",buy
83,TYG,CICCOTELLO CONRAD S,Director,"Apr 21, 2020",$3.09,1200,3708,16186,"Apr 21, 2020, 03:48 PM",buy
84,PLPC,GIBBONS MICHAEL E,Director,"Apr 21, 2020",$46.71,23,1074,5640,"Apr 21, 2020, 02:36 PM",buy
85,VOLT,URSANER ARNOLD,Director,"Apr 20, 2020",$0.70,10000,7000,75288,"Apr 21, 2020, 01:03 PM",buy
86,RVP,SHAW THOMAS J,President and CEO,"Apr 20, 2020",$2.57,700,1799,14552306,"Apr 21, 2020, 12:22 PM",buy
